text,audit_type,source
qty take-off altered - no CO (Kidus A.),DATA_INTEGRITY,hard_synthetic_v2
flagged item,DATA_INTEGRITY,hard_synthetic_v2
T75675: please investigate budget line edit on,FINANCIAL,hard_synthetic_v2
rebar over-ordered 8% block d,PROJECT_RESOURCE,hard_synthetic_v2
T33152: repeated open of restricted folder by Solomon .,USER_ACTIVITY,hard_synthetic_v2
permission raised for henok t. without aproval,SECURITY,hard_synthetic_v2
"as discussed - expense claim ETB 897,000 from Biruk M.",FINANCIAL,hard_synthetic_v2
T26434: excavator out 5 days - not returned (Selam F.),PROJECT_RESOURCE,hard_synthetic_v2
milestone 'topped out' delayed (marta t.),PROJECT_RESOURCE,hard_synthetic_v2
2025-04-25 as-built ZIP downloaded by Marta T.,REPORT_DOCUMENT,hard_synthetic_v2
2025-12-27 equipment checkout overdue (Getachew),PROJECT_RESOURCE,hard_synthetic_v2
mesfin changed ip during session,SECURITY,hard_synthetic_v2
contract PDF mailed externally (Tigist) - ezih,REPORT_DOCUMENT,hard_synthetic_v2
duplicate supplier invioce #7675 | please check,DATA_INTEGRITY,hard_synthetic_v2
"payment of ETB 562,000 approved by Biruk M.",FINANCIAL,hard_synthetic_v2
2025-04-01 test results changed without approval (Henok T.),DATA_INTEGRITY,hard_synthetic_v2
"payment of ETB 103,000 approved by Dawit H.",FINANCIAL,hard_synthetic_v2
document export by Dawit H.,REPORT_DOCUMENT,hard_synthetic_v2
2025-12-16 bulk reassign 148 tasks - no comment (meron t.) | see attachment,USER_ACTIVITY,hard_synthetic_v2
2025-01-08 T26705: contractor import replaced values (yonas g.) - site lay,DATA_INTEGRITY,hard_synthetic_v2
report problem,PROJECT_RESOURCE,hard_synthetic_v2
2026-03-21 odd hour login by Samuel at 2:00 | for your action,SECURITY,hard_synthetic_v2
commercial rates shared outside (dawit h.),REPORT_DOCUMENT,hard_synthetic_v2
excavator out 15 days - not returned (solomon a.),PROJECT_RESOURCE,hard_synthetic_v2
approved MS edited after acceptance (Selam F.),REPORT_DOCUMENT,hard_synthetic_v2
dormant account Samuel active after 9 months,USER_ACTIVITY,hard_synthetic_v2
per site instruction - Helen tried admin console - denied,SECURITY,hard_synthetic_v2
T36860: as discussed - measurement sheet deleted (Tigist),DATA_INTEGRITY,hard_synthetic_v2
session from unknown device (tigist),SECURITY,hard_synthetic_v2
session from unknown device (Rahel G.) - site lay,SECURITY,hard_synthetic_v2
2026-11-25 Sara B. changed IP during session,SECURITY,hard_synthetic_v2
geo anomaly: Henok T. appeared in two cities same day,SECURITY,hard_synthetic_v2
dormant account Bereket D. active after 14 months,USER_ACTIVITY,hard_synthetic_v2
mass status edit (110 tasks) by Yonas G.,USER_ACTIVITY,hard_synthetic_v2
2025-01-16 measurement sheet deleted (Mesfin),DATA_INTEGRITY,hard_synthetic_v2
generator hours high vs plan (Henok T.) | see attachment,PROJECT_RESOURCE,hard_synthetic_v2
2026-03-20 large paymant released without second sign-off (Kidus A.),FINANCIAL,hard_synthetic_v2
"expense claim ETB 918,000 from Meron T.",FINANCIAL,hard_synthetic_v2
password reset requested then cancelled (solomon a.) (check),SECURITY,hard_synthetic_v2
from the meeting - bulk reassign 66 tasks - no comment (kidus a.),USER_ACTIVITY,hard_synthetic_v2
NCR closed without QM signature (Hanna A.),COMPLIANCE,hard_synthetic_v2
attendance history row removed by hanna a.,DATA_INTEGRITY,hard_synthetic_v2
2026-09-24 Biruk M. modified contingency on Adama IP,FINANCIAL,hard_synthetic_v2
Lidya W. opened finance module (not their role),USER_ACTIVITY,hard_synthetic_v2
T20881: Dawit H. changed IP during session,SECURITY,hard_synthetic_v2
T23159: hold point skipped on foundation (Solomon A.),COMPLIANCE,hard_synthetic_v2
dormant account Yonas G. active after 18 months | awaiting confirmation,USER_ACTIVITY,hard_synthetic_v2
external share of project file (Selam F.),REPORT_DOCUMENT,hard_synthetic_v2
T57769: external share of project file (Mesfin),REPORT_DOCUMENT,hard_synthetic_v2
full cost DB exported by Sara B.,REPORT_DOCUMENT,hard_synthetic_v2
approved MS edited after acceptance (Getachew) | temporary entry,REPORT_DOCUMENT,hard_synthetic_v2
env spill reprot delayed (samuel),COMPLIANCE,hard_synthetic_v2
drawing pack uploaded by Mesfin (check),REPORT_DOCUMENT,hard_synthetic_v2
role misuse flagged for abebe k.,DATA_INTEGRITY,hard_synthetic_v2
2026-09-14 NCR closed without QM signature (Rahel G.),COMPLIANCE,hard_synthetic_v2
2025-12-22 sensitive salary data viewed by meron t.,USER_ACTIVITY,hard_synthetic_v2
T22909: bugdet line edit on Bole Tower (Meron T.),FINANCIAL,hard_synthetic_v2
T35421: test results changed without approval (Samuel),SECURITY,hard_synthetic_v2
duplicate invoice #6980 entered,FINANCIAL,hard_synthetic_v2
"paymant of etb 885,000 approved by bereket d.",FINANCIAL,hard_synthetic_v2
see attachment - engineer solomon a. tried to approve paymant,USER_ACTIVITY,hard_synthetic_v2
measurement sheet deleted (Solomon A.),DATA_INTEGRITY,hard_synthetic_v2
milestone 'foundation' delayed (getachew) - please confirm,PROJECT_RESOURCE,hard_synthetic_v2
failed authentication for Tigist,SECURITY,hard_synthetic_v2
T98987: external data import by Samuel,DATA_INTEGRITY,hard_synthetic_v2
odd behaviour unauthorized access attempt by,SECURITY,hard_synthetic_v2
unauthorized access attempt by Getachew,SECURITY,hard_synthetic_v2
old spec rev deleted (Bereket D.),REPORT_DOCUMENT,hard_synthetic_v2
hold point skipped on foundation (yonas g.),DATA_INTEGRITY,hard_synthetic_v2
failed authentication for Tigist,SECURITY,hard_synthetic_v2
please check - sensitive salary data viewed by Hanna .,USER_ACTIVITY,hard_synthetic_v2
cost code changed on PO by Bereket D.,FINANCIAL,hard_synthetic_v2
payment run for Ethio Steel by Samuel,FINANCIAL,hard_synthetic_v2
scaffold parts missing after demob (Yonas G.),USER_ACTIVITY,hard_synthetic_v2
full cost DB exported by Solomon A.,REPORT_DOCUMENT,hard_synthetic_v2
measurement sheet deleted (Kidus A.),DATA_INTEGRITY,hard_synthetic_v2
geo anomaly: kidus a. appeared in two cities same day | see attachment,SECURITY,hard_synthetic_v2
2025-09-19 cost code changed on PO by Tigist,FINANCIAL,hard_synthetic_v2
as-built rev changed after client sign-off (Mesfin),DATA_INTEGRITY,hard_synthetic_v2
qty take-off altered - no CO (Sara B.),DATA_INTEGRITY,hard_synthetic_v2
T56209: milestone 'foundation' delayed (Bereket D.),PROJECT_RESOURCE,hard_synthetic_v2
Hanna A. changed IP during session,SECURITY,hard_synthetic_v2
CSV import overwrote approved qty (Tigist),DATA_INTEGRITY,hard_synthetic_v2
commercial rates shared outside (Kidus A.),REPORT_DOCUMENT,hard_synthetic_v2
generator hours high vs plan (rahel g.) | for your action,PROJECT_RESOURCE,hard_synthetic_v2
method statement still draft but signed (Getachew),COMPLIANCE,hard_synthetic_v2
external share of project file (Kidus A.),REPORT_DOCUMENT,hard_synthetic_v2
method statement still draft but signed (Kidus A.),COMPLIANCE,hard_synthetic_v2
faild authentication for Henok T.,SECURITY,hard_synthetic_v2
T87455: payment run for Horizon Mat by Tigist,FINANCIAL,hard_synthetic_v2
PPE violation noted for crew of Selam F.,COMPLIANCE,hard_synthetic_v2
drawing pack uploaded by rahel g. | per site instruction,REPORT_DOCUMENT,hard_synthetic_v2
bulk delete of 157 rows by mesfin,USER_ACTIVITY,hard_synthetic_v2
equipment checkout overdue (Solomon A.),PROJECT_RESOURCE,hard_synthetic_v2
engineer Getachew tried to approve payment,USER_ACTIVITY,hard_synthetic_v2
permit submitted after work started (Bereket D.),COMPLIANCE,hard_synthetic_v2
2026-03-04 env spill report delayed (tigist),COMPLIANCE,hard_synthetic_v2
2025-10-25 excavator out 12 days - not returned (Marta T.),PROJECT_RESOURCE,hard_synthetic_v2
file shared to client@own.org by Kidus A.,COMPLIANCE,hard_synthetic_v2
T22697: approved MS edited after acceptance (Rahel G.),REPORT_DOCUMENT,hard_synthetic_v2
material overuse logged on Hawassa P2 | see attachment,PROJECT_RESOURCE,hard_synthetic_v2
issue with Biruk M. commercial rates shared outside,REPORT_DOCUMENT,hard_synthetic_v2
2026-03-16 method statement still draft but signed (Dawit H.),COMPLIANCE,hard_synthetic_v2
bulk delete of 84 rows by Samuel,USER_ACTIVITY,hard_synthetic_v2
CSV import overwrote approved qty (Yonas G.) - site lay,DATA_INTEGRITY,hard_synthetic_v2
payment run for nile const by dawit h.,FINANCIAL,hard_synthetic_v2
subcon ethio steel ncr list updated by sara b.,PROJECT_RESOURCE,hard_synthetic_v2
needs review sensitive salary data viewed,USER_ACTIVITY,hard_synthetic_v2
2025-12-17 needs review policy breach recorded for,COMPLIANCE,hard_synthetic_v2
report problem,FINANCIAL,hard_synthetic_v2
2026-07-19 bulk delete of 212 rows by Mesfin,USER_ACTIVITY,hard_synthetic_v2
"paymant of ETB 316,000 approved by Selam F.",FINANCIAL,hard_synthetic_v2
flagged item - please confirm,PROJECT_RESOURCE,hard_synthetic_v2
payment run for abyssinia hire by yonas g.,FINANCIAL,hard_synthetic_v2
drawing pack uploaded by marta t.,REPORT_DOCUMENT,hard_synthetic_v2
CSV import overwrote approved qty (Helen),DATA_INTEGRITY,hard_synthetic_v2
T41376: mesfin opened finance module (not their role) | awaiting confirmation,USER_ACTIVITY,hard_synthetic_v2
2025-01-06 faild authentication for meron t.,SECURITY,hard_synthetic_v2
check Abebe K. activity payment run for Nile,FINANCIAL,hard_synthetic_v2
"expense claim ETB 364,000 from Lidya W.",FINANCIAL,hard_synthetic_v2
password reset requested then cancelled (hanna a.),SECURITY,hard_synthetic_v2
T78533: measurement sheet deleted (Kidus A.),DATA_INTEGRITY,hard_synthetic_v2
odd behaviour,SECURITY,hard_synthetic_v2
session from unknown device (Rahel G.),SECURITY,hard_synthetic_v2
measurement sheet deleted (lidya w.),DATA_INTEGRITY,hard_synthetic_v2
2026-07-20 83 edits in under 5 min by Getachew,USER_ACTIVITY,hard_synthetic_v2
site reprot late by 14 days (Dawit H.) | from the meeting,COMPLIANCE,hard_synthetic_v2
qty take-off altered - no co (getachew) (check),DATA_INTEGRITY,hard_synthetic_v2
as-built rev changed after client sign-off (Lidya W.),DATA_INTEGRITY,hard_synthetic_v2
qty take-off altered - no CO (Helen) - ezih,DATA_INTEGRITY,hard_synthetic_v2
please check - mass status edit (201 tasks) by Mesfin,USER_ACTIVITY,hard_synthetic_v2
problem on ALR Ext,DATA_INTEGRITY,hard_synthetic_v2
contract PDF mailed externally (Rahel G.),REPORT_DOCUMENT,hard_synthetic_v2
T24297: geo anomaly: Tigist appeared in two cities same day - ezih,SECURITY,hard_synthetic_v2
2025-07-19 checklist incomplete for pour #38,COMPLIANCE,hard_synthetic_v2
T29234: rebar over-ordered 32% block a,PROJECT_RESOURCE,hard_synthetic_v2
T63918: NCR closed without QM signature (Yonas G.),COMPLIANCE,hard_synthetic_v2
bulk delete of 169 rows by Rahel G.,USER_ACTIVITY,hard_synthetic_v2
suspicious login pattern detected (bereket d.),DATA_INTEGRITY,hard_synthetic_v2
generator hours high vs plan (Samuel) - ezih,PROJECT_RESOURCE,hard_synthetic_v2
drawing pack uploaded by bereket d.,REPORT_DOCUMENT,hard_synthetic_v2
drawing pack uploaded by Abebe K. - please confirm,REPORT_DOCUMENT,hard_synthetic_v2
external share of project file (Yonas G.),REPORT_DOCUMENT,hard_synthetic_v2
2025-02-10 delivery note DN-374 edited after lock by Biruk M.,DATA_INTEGRITY,hard_synthetic_v2
needs review,DATA_INTEGRITY,hard_synthetic_v2
T17389: policy breach recorded for Getachew | awaiting confirmation,COMPLIANCE,hard_synthetic_v2
multiple failed logins on rahel g. account,SECURITY,hard_synthetic_v2
bulk reassign 127 tasks - no comment (Lidya W.),USER_ACTIVITY,hard_synthetic_v2
QA plan changed post-approval (Solomon A.),REPORT_DOCUMENT,hard_synthetic_v2
T73539: repeated open of restricted folder by meron t.,USER_ACTIVITY,hard_synthetic_v2
2026-04-11 large paymant released without second sign-off (Mesfin),FINANCIAL,hard_synthetic_v2
"cash advance ETB 171,000 logged by Abebe K.",FINANCIAL,hard_synthetic_v2
problem on Hawassa P2,REPORT_DOCUMENT,hard_synthetic_v2
QA plan changed post-approval (Lidya W.),REPORT_DOCUMENT,hard_synthetic_v2
csv import overwrote approved qty (helen),USER_ACTIVITY,hard_synthetic_v2
duplicate supplier invoice #4436 - site lay,DATA_INTEGRITY,hard_synthetic_v2
user list exported by henok t. after hours,USER_ACTIVITY,hard_synthetic_v2
"cash advance ETB 797,000 logged by Abebe K.",FINANCIAL,hard_synthetic_v2
fuel burn above baseline (meron t.),PROJECT_RESOURCE,hard_synthetic_v2
T17961: budget line edit on Site 3 (Yonas G.),FINANCIAL,hard_synthetic_v2
contractor import replaced values (Lidya W.),DATA_INTEGRITY,hard_synthetic_v2
rebar over-ordered 7% block A,PROJECT_RESOURCE,hard_synthetic_v2
2025-11-19 approved MS edited after acceptance (Henok T.),REPORT_DOCUMENT,hard_synthetic_v2
file shared to client@own.org by Helen | per site instruction,REPORT_DOCUMENT,hard_synthetic_v2
rebar over-ordered 42% block c,PROJECT_RESOURCE,hard_synthetic_v2
mass status edit (219 tasks) by tigist,USER_ACTIVITY,hard_synthetic_v2
flagged item odd hour log-in by,SECURITY,hard_synthetic_v2
Sara B. changed IP during session,SECURITY,hard_synthetic_v2
T67134: material overuse logged on Adama IP,PROJECT_RESOURCE,hard_synthetic_v2
T12554: material overuse logged on DD Warehouse | temporary entry,PROJECT_RESOURCE,hard_synthetic_v2
"payment of etb 345,000 approved by mesfin",FINANCIAL,hard_synthetic_v2
urgent - env spill report delayed (Helen),COMPLIANCE,hard_synthetic_v2
T15510: material overuse logged on Adama IP,PROJECT_RESOURCE,hard_synthetic_v2
hold point skipped on foundation (Biruk M.),SECURITY,hard_synthetic_v2
2026-05-10 access concern,COMPLIANCE,hard_synthetic_v2
full cost DB exported by Abebe K. (check),REPORT_DOCUMENT,hard_synthetic_v2
2026-03-19 toolbox talk sheet missing (Henok T.),COMPLIANCE,hard_synthetic_v2
"check Solomon A. activity cash advance ETB 194,000",FINANCIAL,hard_synthetic_v2
check Meron T. activity hold point skipped on,COMPLIANCE,hard_synthetic_v2
mass status edit (13 tasks) by solomon a. (check),USER_ACTIVITY,hard_synthetic_v2
2025-05-19 old spec rev deleted (abebe k.),REPORT_DOCUMENT,hard_synthetic_v2
approval bypassed on wo-677 by solomon a.,COMPLIANCE,hard_synthetic_v2
ppe violation noted for crew of mesfin - please confirm,COMPLIANCE,hard_synthetic_v2
contractor review score 28/100 by Tigist,PROJECT_RESOURCE,hard_synthetic_v2
T17978: permit submitted after work started (Mesfin),COMPLIANCE,hard_synthetic_v2
T40215: measurement sheet deleted (Dawit H.),DATA_INTEGRITY,hard_synthetic_v2
access concern,SECURITY,hard_synthetic_v2
per site instruction - full cost DB exproted by Dawit H.,REPORT_DOCUMENT,hard_synthetic_v2
document export by Meron T.,REPORT_DOCUMENT,hard_synthetic_v2
"noted on site - expense claim ETB 822,000 from Rahel G.",FINANCIAL,hard_synthetic_v2
Sara B. opened finance module (not their role),USER_ACTIVITY,hard_synthetic_v2
method statement still draft but signed (Abebe K.),COMPLIANCE,hard_synthetic_v2
toolbox talk sheet missing (sara b.),COMPLIANCE,hard_synthetic_v2
awaiting confirmation - method statement still draft but signed (Sara B.),COMPLIANCE,hard_synthetic_v2
PPE violation noted for crew of Samuel,COMPLIANCE,hard_synthetic_v2
large payment released without second sign-off (Samuel),FINANCIAL,hard_synthetic_v2
T64147: please check - duplicate invoice #4087 entered,FINANCIAL,hard_synthetic_v2
Tigist opened finance module (not their role),USER_ACTIVITY,hard_synthetic_v2
drawing pack uploaded by Meron T.,REPORT_DOCUMENT,hard_synthetic_v2
unauth access attempt by Henok T.,SECURITY,hard_synthetic_v2
milestone 'facade' delayed (yonas g.) - ezih,PROJECT_RESOURCE,hard_synthetic_v2
noted on site - password reset requested then cancelled (Marta T.),SECURITY,hard_synthetic_v2
"2025-09-18 anomaly noted expense claim etb 482,000",FINANCIAL,hard_synthetic_v2
2026-11-26 report problem,DATA_INTEGRITY,hard_synthetic_v2
session from unknown device (Hanna A.),SECURITY,hard_synthetic_v2
dormant account Sara B. active after 19 months,USER_ACTIVITY,hard_synthetic_v2
as-built ZIP downloaded by Meron T.,REPORT_DOCUMENT,hard_synthetic_v2
commercial rates shared outside (Biruk M.),REPORT_DOCUMENT,hard_synthetic_v2
measurement sheet deleted (Mesfin),DATA_INTEGRITY,hard_synthetic_v2
as-built rev changed after client sign-off (samuel),DATA_INTEGRITY,hard_synthetic_v2
T30166: PPE violation noted for crew of Hanna A.,COMPLIANCE,hard_synthetic_v2
Solomon A. changed IP during session,SECURITY,hard_synthetic_v2
T56241: failed authentication for meron t.,SECURITY,hard_synthetic_v2
T87795: Lidya W. modified contingency on Bole Tower,FINANCIAL,hard_synthetic_v2
2026-08-06 as-built zip downloaded by henok t. - ezih,REPORT_DOCUMENT,hard_synthetic_v2
external data import by Solomon A.,DATA_INTEGRITY,hard_synthetic_v2
generator hours high vs plan (Rahel G.),PROJECT_RESOURCE,hard_synthetic_v2
env spill report delayed (biruk m.),COMPLIANCE,hard_synthetic_v2
"cash advance ETB 584,000 logged by Kidus A.",FINANCIAL,hard_synthetic_v2
Bereket D. tried admin console - denied,SECURITY,hard_synthetic_v2
T48070: user list exported by Selam F. after hours,USER_ACTIVITY,hard_synthetic_v2
2025-09-21 material overuse logged on bd hospital,PROJECT_RESOURCE,hard_synthetic_v2
multiple faild logins on Dawit H. account,SECURITY,hard_synthetic_v2
env spill report delayed (Sara B.) | for your action,COMPLIANCE,hard_synthetic_v2
permit submitted after work started (Meron T.),COMPLIANCE,hard_synthetic_v2
2025-09-04 53 edits in under 5 min by Rahel G.,USER_ACTIVITY,hard_synthetic_v2
external share of project file (Hanna A.),DATA_INTEGRITY,hard_synthetic_v2
payment run for Horizon Mat by Mesfin,FINANCIAL,hard_synthetic_v2
T78682: issue with Selam F.,COMPLIANCE,hard_synthetic_v2
T93566: large payment released without second sign-off (Lidya W.),FINANCIAL,hard_synthetic_v2
milestone 'MEP 1st fix' delayed (Samuel),PROJECT_RESOURCE,hard_synthetic_v2
drawing pack uploaded by Getachew | from the meeting,REPORT_DOCUMENT,hard_synthetic_v2
T26471: sensitive salary data viewed by Abebe K. - ezih,USER_ACTIVITY,hard_synthetic_v2
T48348: toolbox talk sheet missing (Abebe K.) | as discussed,COMPLIANCE,hard_synthetic_v2
approved MS edited after acceptance (Hanna A.),REPORT_DOCUMENT,hard_synthetic_v2
odd hour login by Meron T. at 7:00,SECURITY,hard_synthetic_v2
hanna a. modified contingency on alr ext - ezih,FINANCIAL,hard_synthetic_v2
"2026-04-12 payment of etb 72,000 approved by rahel g.",FINANCIAL,hard_synthetic_v2
external data import by Meron T.,USER_ACTIVITY,hard_synthetic_v2
report problem hold point skipped on,COMPLIANCE,hard_synthetic_v2
Samuel tried admin console - denied,DATA_INTEGRITY,hard_synthetic_v2
role misuse flagged for biruk m.,USER_ACTIVITY,hard_synthetic_v2
T59410: user list exported by lidya w. after hours,USER_ACTIVITY,hard_synthetic_v2
policy breach recorded for Rahel G. | per site instruction,COMPLIANCE,hard_synthetic_v2
T18653: qty take-off altered - no co (yonas g.),DATA_INTEGRITY,hard_synthetic_v2
2026-08-04 T29596: invoice #7406 deleted after payment (tigist),FINANCIAL,hard_synthetic_v2
failed authentication for lidya w.,SECURITY,hard_synthetic_v2
dormant account yonas g. active after 10 months,USER_ACTIVITY,hard_synthetic_v2
excavator out 1 days - not returned (Henok T.),PROJECT_RESOURCE,hard_synthetic_v2
T83178: see attachment - unapproved edit to record by Getachew,DATA_INTEGRITY,hard_synthetic_v2
2026-08-03 scaffold parts missing after demob (Tigist),USER_ACTIVITY,hard_synthetic_v2
T65516: user list exported by Dawit H. after hours,USER_ACTIVITY,hard_synthetic_v2
check Rahel G. activity,USER_ACTIVITY,hard_synthetic_v2
getachew tried admin console - denied,SECURITY,hard_synthetic_v2
duplicate supplier invoice #4974,DATA_INTEGRITY,hard_synthetic_v2
dormant account kidus a. active after 20 months,USER_ACTIVITY,hard_synthetic_v2
T31372: invoice #2102 deleted after payment (Kidus A.),FINANCIAL,hard_synthetic_v2
henok t. tried admin console - denied,USER_ACTIVITY,hard_synthetic_v2
approved MS edited after acceptance (Mesfin),REPORT_DOCUMENT,hard_synthetic_v2
2025-11-28 T74904: odd hour log-in by Rahel G. at 8:00,SECURITY,hard_synthetic_v2
"payment of etb 719,000 approved by helen",FINANCIAL,hard_synthetic_v2
odd hour login by Solomon A. at 9:00,SECURITY,hard_synthetic_v2
bugdet increased 44% on BD Hospital by Helen,FINANCIAL,hard_synthetic_v2
T72776: env spill report delayed (Rahel G.) - ezih,COMPLIANCE,hard_synthetic_v2
2025-11-18 site report late by 1 days (Samuel),COMPLIANCE,hard_synthetic_v2
T67572: unapproved edit to record by Dawit H.,DATA_INTEGRITY,hard_synthetic_v2
T89854: engineer Abebe K. tried to approve payment - please confirm,USER_ACTIVITY,hard_synthetic_v2
delivery note DN-237 edited after lock by Solomon .,DATA_INTEGRITY,hard_synthetic_v2
late submission of daily report (dawit h.),COMPLIANCE,hard_synthetic_v2
T43520: budget line edit on Adama IP (Biruk M.),FINANCIAL,hard_synthetic_v2
T63251: mass status edit (86 tasks) by selam f. | awaiting confirmation,USER_ACTIVITY,hard_synthetic_v2
sensitive salary data viewed by Hanna A. - ezih,USER_ACTIVITY,hard_synthetic_v2
contractor import replaced values (tigist) | from the meeting,DATA_INTEGRITY,hard_synthetic_v2
need follow up - delivery note DN-642 edited after lock by Hanna A.,DATA_INTEGRITY,hard_synthetic_v2
drawing pack uploaded by Yonas G. (check),REPORT_DOCUMENT,hard_synthetic_v2
need follow up - late submission of daily report (tigist),COMPLIANCE,hard_synthetic_v2
bulk delete of 187 rows by dawit h.,USER_ACTIVITY,hard_synthetic_v2
please investigate,DATA_INTEGRITY,hard_synthetic_v2
T80977: awaiting confirmation - rebar over-ordered 42% block b,PROJECT_RESOURCE,hard_synthetic_v2
site report late by 9 days (Getachew),COMPLIANCE,hard_synthetic_v2
T35201: external data import by kidus a. | per site instruction,DATA_INTEGRITY,hard_synthetic_v2
fuel burn above baseline (Abebe K.),PROJECT_RESOURCE,hard_synthetic_v2
file shared to sub@con.et by Kidus A.,REPORT_DOCUMENT,hard_synthetic_v2
unauthorized access attempt by Mesfin,SECURITY,hard_synthetic_v2
T86817: qa plan changed post-approval (henok t.),REPORT_DOCUMENT,hard_synthetic_v2
material overuse logged on Hawassa P2,USER_ACTIVITY,hard_synthetic_v2
odd behaviour permission raised for Dawit,SECURITY,hard_synthetic_v2
T88291: geo anomaly: Samuel appeared in two cities same day,SECURITY,hard_synthetic_v2
user list exported by Dawit H. after hours,COMPLIANCE,hard_synthetic_v2
T86920: data issue,DATA_INTEGRITY,hard_synthetic_v2
excavator out 14 days - not returned (getachew),PROJECT_RESOURCE,hard_synthetic_v2
2026-07-16 T39709: late submission of daily report (Biruk M.),COMPLIANCE,hard_synthetic_v2
2026-01-25 T69384: full cost db exported by mesfin,REPORT_DOCUMENT,hard_synthetic_v2
"expense claim ETB 911,000 from Lidya W.",FINANCIAL,hard_synthetic_v2
from the meeting - engineer Selam F. tried to approve payment,USER_ACTIVITY,hard_synthetic_v2
T91227: Kidus A. log-in failed from 197.243.55.247,SECURITY,hard_synthetic_v2
unauthorized access attempt by dawit h.,SECURITY,hard_synthetic_v2
"T61300: expense claim ETB 166,000 from Lidya W.",FINANCIAL,hard_synthetic_v2
please check - cement overuse 43% on ALR Ext (Helen) - please confirm,PROJECT_RESOURCE,hard_synthetic_v2
2026-09-27 T90853: anomaly noted fuel burn above baseline,PROJECT_RESOURCE,hard_synthetic_v2
contract PDF mailed externally (Meron T.),USER_ACTIVITY,hard_synthetic_v2
as discussed - sensitive salary data viewed by kidus a.,USER_ACTIVITY,hard_synthetic_v2
duplicate invoice #2802 entered | temporary entry - please confirm,FINANCIAL,hard_synthetic_v2
site report late by 12 days (Lidya W.),COMPLIANCE,hard_synthetic_v2
dormant account samuel active after 13 months,USER_ACTIVITY,hard_synthetic_v2
cement overuse 37% on site 3 (henok t.),PROJECT_RESOURCE,hard_synthetic_v2
large payment released without second sign-off (samuel),FINANCIAL,hard_synthetic_v2
permit submitted after work started (marta t.),COMPLIANCE,hard_synthetic_v2
document export by bereket d. | need follow up,REPORT_DOCUMENT,hard_synthetic_v2
measurement sheet deleted (Marta T.),DATA_INTEGRITY,hard_synthetic_v2
geo anomaly: Marta T. appeared in two cities same day,SECURITY,hard_synthetic_v2
2025-02-13 T34030: unapproved edit to record by biruk m. - site lay,DATA_INTEGRITY,hard_synthetic_v2
user list exported by Marta T. after hours,USER_ACTIVITY,hard_synthetic_v2
2025-12-02 milestone 'foundation' delayed (tigist),PROJECT_RESOURCE,hard_synthetic_v2
unauthorized access attempt by yonas g.,SECURITY,hard_synthetic_v2
document export by selam f.,REPORT_DOCUMENT,hard_synthetic_v2
T53049: approved MS edited after acceptance (Solomon A.) - site lay,REPORT_DOCUMENT,hard_synthetic_v2
bulk reassign 8 tasks - no comment (Lidya W.),USER_ACTIVITY,hard_synthetic_v2
checklist incomplete for pour #18,COMPLIANCE,hard_synthetic_v2
2025-03-22 hold point skipped on foundation (dawit h.),COMPLIANCE,hard_synthetic_v2
T99793: unauthorized access attempt by Yonas G.,SECURITY,hard_synthetic_v2
